City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kailua-kona,19.6406,-155.9956,300.13,83,0,5.14,US,1717872433
1,ambon,-3.6954,128.1814,300.3,15,100,5.03,ID,1717872594
2,tralee,52.2704,-9.7026,286.29,58,40,4.12,IE,1717872705
3,afaahiti,-17.75,-149.2833,297.08,85,97,7.0,PF,1717872431
4,albany,42.6001,-73.9662,294.15,63,41,0.89,US,1717872451
5,invercargill,-46.4,168.35,280.38,88,100,1.79,NZ,1717872420
6,ust'-ilimsk,58.0006,102.6619,286.05,54,100,2.68,RU,1717872705
7,puerto natales,-51.7236,-72.4875,276.4,100,75,1.54,CL,1717872705
8,katsuren-haebaru,26.3369,127.8719,299.58,96,100,3.6,JP,1717872705
9,ta`u,-14.2336,-169.5144,299.73,74,100,10.89,AS,1717872705
10,nova sintra,14.8667,-24.7167,296.9,83,0,11.04,CV,1717872705
11,port-aux-francais,-49.35,70.2167,279.35,96,100,14.44,TF,1717872420
12,waitangi,-43.9535,-176.5597,281.94,83,5,2.68,NZ,1717872705
13,jayapura,-2.5333,140.7,297.81,94,59,1.93,ID,1717872551
14,castillos,-34.1667,-53.8333,293.28,86,100,2.73,UY,1717872706
15,palafrugell,41.9174,3.1631,295.57,45,100,4.47,ES,1717872706
16,johnstown,40.3267,-78.922,298.03,54,40,5.14,US,1717872029
17,port elizabeth,-33.918,25.5701,286.31,94,0,1.54,ZA,1717872679
18,bethel,41.3712,-73.414,298.32,53,0,5.14,US,1717872413
19,broome,42.2506,-75.833,296.31,64,100,6.69,US,1717872438
20,huilong,31.8111,121.655,293.73,83,100,1.86,CN,1717872706
21,pumiao,22.75,108.4833,298.37,99,58,2.39,CN,1717872706
22,puerto ayora,-0.7393,-90.3518,300.13,89,100,2.24,EC,1717872706
23,arraial do cabo,-22.9661,-42.0278,299.13,78,0,6.17,BR,1717872425
24,grytviken,-54.2811,-36.5092,270.68,86,100,3.45,GS,1717872706
25,chonchi,-42.6128,-73.8092,286.71,94,100,4.55,CL,1717872706
26,feni,23.0186,91.41,301.33,88,45,4.67,BD,1717872706
27,hermanus,-34.4187,19.2345,283.04,77,0,2.72,ZA,1717872420
28,ushuaia,-54.8,-68.3,275.96,70,20,6.17,AR,1717872707
29,nasielsk,52.5889,20.8055,294.2,52,0,2.06,PL,1717872707
30,vila franca do campo,37.7167,-25.4333,293.38,99,81,2.9,PT,1717872429
31,ribeira grande,38.5167,-28.7,294.37,83,40,6.69,PT,1717872427
32,lumding railway colony,25.749,93.17,297.56,90,8,0.67,IN,1717872707
33,nema,57.5067,50.5011,288.52,86,97,1.14,RU,1717872707
34,wailua homesteads,22.0669,-159.378,300.39,81,100,4.12,US,1717872707
35,yaren,-0.5472,166.916,302.6,69,82,5.1,NR,1717872707
36,iqaluit,63.7506,-68.5145,276.0,64,75,7.72,CA,1717872424
37,samus',56.7475,84.6992,290.37,98,100,3.29,RU,1717872707
38,isafjordur,66.0755,-23.124,278.17,70,40,3.6,IS,1717872424
39,paulden,34.8856,-112.4682,307.43,15,2,2.68,US,1717872707
40,bontang,0.1333,117.5,298.67,89,40,2.44,ID,1717872707
41,port mathurin,-19.6833,63.4167,297.13,78,40,9.97,MU,1717872427
42,magong,23.5654,119.5863,299.29,88,5,0.5,TW,1717872707
43,nishinoomote,30.7333,131.0,297.38,93,100,4.37,JP,1717872708
44,bamyan,34.75,67.25,282.47,46,0,2.52,AF,1717872708
45,avarua,-21.2078,-159.775,296.18,64,20,1.54,CK,1717872424
46,ban selaphum,16.0167,103.95,299.83,85,100,3.21,TH,1717872708
47,aasiaat,68.7098,-52.8699,274.99,83,12,3.71,GL,1717872421
48,onega,63.9061,38.1404,281.93,83,7,1.07,RU,1717872708
49,kapa'a,22.0752,-159.319,301.14,82,100,4.12,US,1717872423
50,ziro,27.6333,93.8333,288.51,97,38,0.28,IN,1717872708
51,callao,-12.0667,-77.15,297.44,77,75,5.14,PE,1717872708
52,adamstown,-25.066,-130.1015,295.9,82,11,4.97,PN,1717872708
53,tibiri,13.5627,7.0485,304.34,58,0,4.12,NE,1717872708
54,hawaiian paradise park,19.5933,-154.9731,299.19,76,20,1.54,US,1717872708
55,hithadhoo,-0.6,73.0833,301.68,75,100,4.33,MV,1717872708
56,stanley,54.868,-1.6985,286.92,53,20,7.72,GB,1717872423
57,longyearbyen,78.2186,15.6401,277.06,75,75,1.03,SJ,1717872422
58,west island,-12.1568,96.8225,300.14,83,100,6.17,CC,1717872708
59,jamestown,42.097,-79.2353,294.55,45,40,9.77,US,1717872691
60,vanimo,-2.6741,141.3028,298.8,90,93,1.57,PG,1717872709
61,college,64.8569,-147.8028,296.52,33,75,6.69,US,1717872519
62,edinburgh of the seven seas,-37.0676,-12.3116,289.37,90,100,12.95,SH,1717872709
63,houghton,47.1219,-88.569,294.88,48,0,8.23,US,1717872432
64,kununurra,-15.7667,128.7333,287.14,67,0,2.57,AU,1717872432
65,duong dong,10.2167,103.9667,303.15,70,40,4.12,VN,1717872709
66,mitsamiouli,-11.3847,43.2844,299.62,70,5,5.15,KM,1717872709
67,nemuro,43.3236,145.575,283.03,96,100,5.05,JP,1717872433
68,blackmans bay,-43.0167,147.3167,281.89,92,3,0.45,AU,1717872709
69,bredasdorp,-34.5322,20.0403,283.34,86,0,1.06,ZA,1717872421
70,salekhard,66.53,66.6019,273.93,80,24,3.13,RU,1717872420
71,pathein,16.7833,94.7333,299.83,88,45,3.97,MM,1717872710
72,tiksi,71.6872,128.8694,273.2,90,57,3.93,RU,1717872710
73,batang,-6.4846,110.7083,299.34,84,65,2.6,ID,1717872710
74,badger,64.8,-147.5333,296.47,32,0,6.69,US,1717872429
75,palmerston north,-40.35,175.6167,283.18,96,99,1.19,NZ,1717872710
76,lata,40.1629,-8.3327,292.87,47,65,2.53,PT,1717872431
77,saint-pierre,-21.3393,55.4781,294.97,73,0,2.57,RE,1717872435
78,kattivakkam,13.2167,80.3167,303.2,86,100,4.07,IN,1717872710
79,udachny,66.4167,112.4,286.73,80,97,2.05,RU,1717872428
80,vilyuysk,63.7553,121.6247,285.37,60,3,1.79,RU,1717872441
81,lucas,41.6501,-83.6666,300.44,36,40,4.63,US,1717872710
82,kavaratti,10.5669,72.642,300.52,87,100,5.8,IN,1717872440
83,kushiro,42.975,144.3747,286.68,100,100,0.0,JP,1717872710
84,olonkinbyen,70.9221,-8.7187,274.12,93,71,5.26,SJ,1717872421
85,whitehorse,60.7161,-135.0538,293.76,29,75,2.24,CA,1717872710
86,solnechnyy,50.7214,136.6319,278.72,97,95,0.23,RU,1717872711
87,ascension,30.2169,-90.9001,308.27,50,0,1.54,US,1717872711
88,berezovyy,51.6667,135.7,280.91,98,100,0.45,RU,1717872711
89,lihue,21.9789,-159.3672,300.73,76,100,4.12,US,1717872711
90,crucecita,-28.95,-58.9833,301.14,52,12,6.1,AR,1717872427
91,tazovsky,67.4667,78.7,276.48,82,94,3.53,RU,1717872711
92,aykhal,66.0,111.5,284.93,86,40,3.31,RU,1717872711
93,ilulissat,69.2167,-51.1,277.16,75,0,3.6,GL,1717872711
94,shimoda,34.6667,138.95,289.87,83,100,1.61,JP,1717872711
95,ondangwa,-17.9167,15.95,292.15,26,6,2.06,NA,1717872711
96,popondetta,-8.7537,148.2534,295.91,96,17,1.23,PG,1717872711
97,port lincoln,-34.7333,135.8667,285.87,77,64,3.47,AU,1717872711
98,punta arenas,-53.15,-70.9167,277.21,65,0,2.57,CL,1717872711
99,altamira,-3.2033,-52.2064,303.2,79,75,2.57,BR,1717872712
100,gorontalo,0.5412,123.0595,296.36,97,95,0.66,ID,1717872712
101,la passe,45.5549,-0.8967,294.28,81,25,4.92,FR,1717872712
102,papatowai,-46.5619,169.4708,280.87,85,100,3.18,NZ,1717872428
